Name,CardNumber,Power,Treasure1,Treasure2,Treasure3,ImageUrl,Description,Id
Princess Deathsparkle the Pony Slayer,1,15,5,3,2,image002.png,,5724c6075a5a223c24cebad5
Chuckles the Chainsaw Chucker ,2,14,5,3,2,image002.png,,5724c6075a5a223c24cebad6
Madeline the Mad Mare ,3,14,5,3,2,image002.png,,5724c6075a5a223c24cebad7
Blind Betty ,4,4,2,1,1,image002.png,,5724c6075a5a223c24cebad8
Whispers the Permasleeper ,5,13,3,2,1,image002.png,,5724c6075a5a223c24cebad9
Mosquito ,6,2,1,1,0,image002.png,,5724c6075a5a223c24cebada
Bunny ,7,2,1,1,0,image002.png,,5724c6075a5a223c24cebadb
Ghost ,8,8,4,2,1,image002.png,,5724c6075a5a223c24cebadc
Gryphon ,9,9,4,2,1,image002.png,,5724c6075a5a223c24cebadd
Cerberus ,10,11,4,2,1,image002.png,,5724c6075a5a223c24cebade
Cockatrice ,11,7,3,1,1,image002.png,,5724c6075a5a223c24cebadf
Wild dogs ,12,6,3,1,1,image002.png,,5724c6075a5a223c24cebae0
Hydra ,13,13,4,2,1,image002.png,,5724c6075a5a223c24cebae1
Manticore ,14,6,2,1,1,image002.png,,5724c6075a5a223c24cebae2
Muscles Meat ,15,10,4,2,1,image002.png,,5724c6075a5a223c24cebae3
Pheonix ,16,4,2,1,1,image002.png,,5724c6075a5a223c24cebae4
Space Bear ,17,14,5,3,2,image002.png,,5724c6075a5a223c24cebae5
Space Teddy Bear ,18,4,2,1,1,image002.png,,5724c6075a5a223c24cebae6
Kitty ,19,2,1,1,0,image002.png,,5724c6075a5a223c24cebae7
Clumsy McTickles ,20,7,3,1,1,image002.png,,5724c6075a5a223c24cebae8
Free Shipping ,21,3,1,1,0,image002.png,,5724c6075a5a223c24cebae9
Black Shade ,22,8,3,2,1,image002.png,,5724c6075a5a223c24cebaea
Zipzee Zippy Zinnia ,23,6,2,1,1,image002.png,,5724c6075a5a223c24cebaeb
Old King Coal ,24,5,2,1,1,image002.png,,5724c6075a5a223c24cebaec
Princess Platinum ,25,6,2,1,1,image002.png,,5724c6075a5a223c24cebaed
Parsnip Planter ,26,4,2,1,1,image002.png,,5724c6075a5a223c24cebaee
Peaches & Cream ,27,10,4,2,1,image002.png,,5724c6075a5a223c24cebaef
Baked Bads ,28,4,2,1,1,image002.png,,5724c6075a5a223c24cebaf0
Tea Serpent ,29,10,4,2,1,image002.png,,5724c6075a5a223c24cebaf1
