Name,Cost,ActionType,EquipmentType,ActionPowerBonus,ActionSpeedBonus,ActionDrawBonus,ActionKeepBonus,ActionAmbushMaxReward,EquipmentPowerBonus,EquipmentSpeedBonus,EquipmentDrawBonus,EquipmentKeepBonus,EquipmentHoldBonus,ImageUrl,CardNumber,Id
Horseshoes,4,Attack,Shoes,6,1,0,0,0,2,2,0,0,0,/content/images/playercards/ghoti_pnp_01.png,1,5724c1e05a5a1e3c24f76ac0
Socks,6,Ambush,Shoes,0,1,0,0,4,1,1,0,0,0,/content/images/playercards/ghoti_pnp_02.png,2,5724c1e65a5a1e3c24f76ac1
Cute Boots,9,Draw,Shoes,0,0,3,2,0,3,4,0,0,0,/content/images/playercards/ghoti_pnp_03.png,3,5724c1e65a5a1e3c24f76ac2
Buckets,3,Attack,Shoes,3,2,0,0,0,4,0,0,0,0,/content/images/playercards/ghoti_pnp_04.png,4,5724c1e65a5a1e3c24f76ac3
Paint Cans,3,Ambush,Shoes,0,2,0,0,3,3,1,0,0,0,/content/images/playercards/ghoti_pnp_05.png,5,5724c1e65a5a1e3c24f76ac4
CD Roms,0,Draw,Shoes,0,0,6,0,0,0,1,0,0,0,/content/images/playercards/ghoti_pnp_06.png,6,5724c1e65a5a1e3c24f76ac5
Stilts,2,Attack,Shoes,1,3,0,0,0,0,2,0,0,0,/content/images/playercards/ghoti_pnp_07.png,7,5724c1e65a5a1e3c24f76ac6
Hover Shoes,5,Ambush,Shoes,0,3,0,0,2,1,3,0,0,0,/content/images/playercards/ghoti_pnp_08.png,8,5724c1e65a5a1e3c24f76ac7
Chalupas,1,Draw,Shoes,0,0,3,2,0,1,1,0,0,0,/content/images/playercards/ghoti_pnp_09.png,9,5724c1e65a5a1e3c24f76ac8
Magical Cape,2,Attack,Armor,6,1,0,0,0,4,0,0,0,0,/content/images/playercards/ghoti_pnp_10.png,10,5724c1e65a5a1e3c24f76ac9
Saddle Bags,6,Ambush,Armor,0,1,0,0,4,2,0,0,0,3,/content/images/playercards/ghoti_pnp_11.png,11,5724c1e65a5a1e3c24f76aca
Horse Armor,9,Draw,Armor,0,0,3,2,0,6,0,0,0,3,/content/images/playercards/ghoti_pnp_12.png,12,5724c1e65a5a1e3c24f76acb
Saddle,3,Attack,Armor,3,2,0,0,0,2,0,0,0,2,/content/images/playercards/ghoti_pnp_13.png,13,5724c1e65a5a1e3c24f76acc
Tortoise Shell,2,Ambush,Armor,0,2,0,0,3,4,-3,0,0,2,/content/images/playercards/ghoti_pnp_14.png,14,5724c1e65a5a1e3c24f76acd
Chicken Costume,0,Draw,Armor,0,0,6,0,0,1,0,0,0,2,/content/images/playercards/ghoti_pnp_15.png,15,5724c1e65a5a1e3c24f76ace
Cursed Amulet,2,Attack,Armor,1,3,0,0,0,3,0,0,0,1,/content/images/playercards/ghoti_pnp_16.png,16,5724c1e65a5a1e3c24f76acf
