name, cardnumber, type, equipmenttext, attack, speed, search, keep, hold, cost, actiontitle, actionspeed, actionattack, actionsearch, actionkeep, ambushlimit
Socks,2,Shoes,,1,1,0,0,0,6,Ambush,1,0,0,0,4
Paint Cans,5,Shoes,,3,1,0,0,0,3,Ambush,2,0,0,0,3
Hover Shoes,8,Shoes,,1,3,0,0,0,5,Ambush,3,0,0,0,2
Saddle Bags,11,Armor,,2,0,0,0,3,6,Ambush,1,0,0,0,4
Tortoise Shell,14,Armor,,4,-3,0,0,2,2,Ambush,2,0,0,0,3
Fancy Dress,17,Armor,,3,0,0,0,3,7,Ambush,3,0,0,0,2
Fake Unicorn Horn,20,Helmet,,4,0,2,0,0,8,Ambush,1,0,0,0,4
Bunny Hat,23,Helmet,,2,0,1,0,0,4,Ambush,2,0,0,0,3
Ribbon,26,Helmet,,4,0,2,0,0,4,Ambush,3,0,0,0,2
Chainsaw Nunchucks,29,Hands,,9,0,0,1,0,9,Ambush,1,0,0,0,4
Portable Hole,32,Hands,,4,0,0,1,0,4,Ambush,2,0,0,0,3
Popsicle,35,Hands,,1,0,0,1,0,7,Ambush,3,0,0,0,2
Card Game,38,Hands,,9,0,0,2,0,5,Ambush,1,0,0,0,4
Human Hands,41,Hands,,9,0,0,1,0,7,Ambush,2,0,0,0,3
Abacus,44,Hands,,3,0,0,0,0,0,Ambush,3,0,0,0,2
