name, cardnumber, type, equipmenttext, attack, speed, search, keep, hold, cost, actiontitle, actionspeed, actionattack, actionsearch, actionkeep, ambushlimit
Cute Boots,3,Shoes,,3,4,0,0,0,9,Draw,0,0,3,2,0
Chalupas,9,Shoes,,1,1,0,0,0,1,Draw,0,0,3,2,0
CD Roms,6,Shoes,,0,1,0,0,0,0,Draw,0,0,6,0,0
Mailbox,27,Helmet,,8,0,3,0,0,8,Draw,0,0,3,2,0
Flower Hat,21,Helmet,,3,0,1,0,0,5,Draw,0,0,3,2,0
Cowpony Hat,24,Helmet,,3,0,2,0,0,7,Draw,0,0,6,0,0
Horse Armor,12,Armor,,6,0,0,0,3,9,Draw,0,0,3,2,0
Medal Armor,18,Armor,,6,0,0,0,1,3,Draw,0,0,3,2,0
Chicken Costume,15,Armor,,1,0,0,0,2,0,Draw,0,0,6,0,0
Feather,30,Hands,,7,0,0,1,0,6,Draw,0,0,3,2,0
Innocent Bystander,36,Hands,,3,0,0,1,0,2,Draw,0,0,3,2,0
Lasso,33,Hands,,1,0,1,1,0,6,Draw,0,0,6,0,0
Feather Duster,39,Hands,,2,0,0,2,0,9,Draw,0,0,3,2,0
Cider Mug,45,Hands,,4,0,0,1,0,6,Draw,0,0,3,2,0
Floss,42,Hands,,3,0,0,1,0,0,Draw,0,0,6,0,0
